dst,absolutetrust_score
290,8.437777210983496e-06
291,6.582755738479591e-07
292,1.7697724326230954e-06
293,1.6269681140173369e-06
294,4.637598620460659e-06
295,8.465264676941366e-06
296,4.637598620460659e-06
297,4.860540653651459e-07
298,3.814776174457228e-06
299,2.470332894503812e-06
300,2.9533012261370315e-06
301,3.082256931354589e-05
302,0.0
303,1.522586573519631e-05
304,8.293278582713229e-05
305,4.311697625595166e-07
306,4.311697625595166e-07
307,1.915144146918176e-06
308,0.0003947893084643974
309,0.0001406283298363495
310,1.595016620590741e-06
311,0.0013951344526946976
312,0.00014796516961851626
313,8.024937182449067e-06
314,4.709386293011852e-06
315,0.0
316,1.6434225579365014e-05
317,6.915349668864199e-06
318,3.0444912509425334e-06
319,1.5131544928678275e-06
320,0.00822466781669915
321,7.177220037758123e-06
322,0.00010270224345660756
323,1.2297871224198725e-06
324,0.00028474077526028106
325,0.0003060288960338856
326,4.637598620460659e-06
327,2.4252358774404616e-05
328,1.1327777307015671e-05
329,1.0338914719914181e-05
330,0.00028147804941765946
331,5.984589025173222e-07
332,0.0022032195183176065
333,4.781042906407808e-06
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,3.182567266182364e-06
340,6.421121340358019e-06
341,0.0
342,0.00028485326380076536
343,0.0
344,0.0
345,1.3920580769492632e-06
346,1.894865986803862e-06
347,6.829251438077609e-06
348,7.231633434918694e-07
349,1.2297871224198725e-06
350,0.000153785095347954
351,6.042664646064092e-06
352,5.395031317832025e-06
353,9.70849738630965e-05
354,4.637598620460659e-06
355,1.522586573519631e-05
356,0.00035632468840895136
357,3.363318140511677e-06
358,3.088124031197392e-06
359,1.245368978686476e-05
360,2.7706658271190846e-06
361,0.0001588176809651621
362,0.0
363,0.00018849316513691225
364,0.0
365,2.3295966375879883e-06
366,2.752219008348802e-05
367,1.2297871224198725e-06
368,4.637598620460659e-06
369,0.0
370,4.8956166045986616e-05
371,3.292587339768026e-06
372,2.220901621138373e-05
373,0.0
374,1.9031736347235793e-06
375,6.233623377504161e-06
376,0.0
377,1.5694086019367243e-06
378,2.5418822947878713e-05
