dst,repulink_score
188,1.0061910907684711e-11
189,3.0826835755833243e-12
190,3.2149610965274224e-12
191,2.6230626890969847e-12
192,2.9190682384324912e-12
193,2.897967030307355e-12
194,3.046286585722031e-12
195,4.346726964184918e-12
196,2.85683011166479e-12
197,3.847574625852694e-12
198,3.1551836238935587e-12
199,3.24877312682085e-12
200,7.505317323720435e-12
201,2.9258195570783476e-12
202,3.3866995621882315e-12
203,3.0464707146758817e-12
204,2.9603703235360297e-12
205,3.09147967502915e-12
206,3.310073489119705e-12
207,3.155511935835751e-12
208,3.2241007522998194e-12
209,3.2302220409730332e-12
210,2.9374963923892145e-12
211,3.3468311635748284e-12
212,2.249499001771355e-12
213,4.332094148260754e-12
214,3.1086563665040103e-12
215,2.7343933711698326e-12
216,2.6292312509093134e-12
217,3.3183512792735226e-12
218,3.863821724320007e-12
219,3.085638715605506e-12
220,2.1844142711307335e-12
221,3.45848607737756e-12
222,3.712059288651413e-12
223,3.800021975001189e-12
224,3.5577044186488513e-12
225,3.0612969604830067e-12
226,4.065650180578865e-12
227,2.664360346999022e-12
228,2.226038822759236e-12
229,2.4688716628928493e-12
230,1.0962004092350617e-12
231,3.208715247660785e-12
232,2.8671986277414564e-12
233,2.3189493612053573e-12
234,3.2848742798491205e-12
235,3.038420607803568e-12
236,2.0340291639187802e-12
237,3.959066680528451e-12
238,3.5948618886229738e-12
239,1.3354616488005251e-11
240,2.940734544508612e-12
241,2.8575735388459476e-12
242,2.8560207284223768e-12
243,2.4711193351768407e-12
244,3.939971064364467e-12
245,2.696761350535921e-12
246,1.2193352757122514e-12
247,2.080445395190163e-12
248,2.5784438661965404e-12
249,3.1889809920236777e-12
250,3.0155999342822292e-12
251,2.9459484943913692e-12
252,3.739009670987537e-12
253,2.4806053741344747e-12
254,2.485882486684889e-12
255,3.2496487847896326e-12
256,3.2599367462108485e-12
257,3.3660234986440796e-12
258,2.2656711718274884e-12
259,2.589743196494962e-12
260,3.5189901394339933e-12
261,3.2340410922479614e-12
262,2.4953150530007943e-12
263,3.1315772854657665e-12
264,2.4878811197193003e-12
265,2.2793731310459083e-12
266,2.5643463890777574e-12
267,3.810869899736604e-12
268,2.430574497800937e-12
269,1.6441172642146393e-12
270,3.700067419346348e-12
271,2.844986832905521e-12
272,4.442413380305475e-12
273,1.8777060147478207e-12
274,2.4739477886699225e-12
275,2.90076885010566e-12
276,2.4927454223073692e-12
277,2.4009433180527354e-12
278,2.075399617094561e-12
279,1.950854684803682e-12
280,2.1764509205498012e-12
281,1.3968185775676862e-12
282,1.9354626753973616e-12
283,2.842285136583076e-12
284,2.2535557952783936e-12
285,2.700280929797602e-12
286,2.07245934763793e-12
287,2.744415454630023e-12
288,4.072639046499492e-12
289,2.244771002602995e-12
290,2.382161268939704e-12
291,2.592664584278097e-12
292,2.189819769985483e-12
293,2.5898196787140637e-12
294,4.9019404080106225e-12
295,2.296733134562975e-12
296,2.841318157197132e-12
297,1.3864931483731606e-12
298,2.082662408999137e-12
299,2.61206941727303e-12
300,1.7576233705924082e-12
301,2.1127417557852256e-12
302,2.2711925874189775e-12
303,2.6555157085858507e-12
304,1.7465518182078749e-12
305,2.0958577906745547e-12
306,2.4598428514467124e-12
307,7.762910854058689e-13
308,1.93233261130105e-12
309,2.0837230465738507e-12
